time,open,high,low,close,volume
2026-03-17 02:00:00,1868.0,1869.8,1867.3,1868.0,4147
2026-03-17 02:01:00,1868.5,1872.6,1868.0,1872.4,3383
2026-03-17 02:02:00,1872.4,1874.3,1871.9,1872.6,2304
2026-03-17 02:03:00,1872.7,1873.0,1869.2,1869.8,1758
2026-03-17 02:04:00,1869.8,1870.8,1869.0,1870.5,1137
2026-03-17 02:05:00,1870.3,1872.0,1869.9,1870.2,1174
2026-03-17 02:06:00,1870.2,1870.9,1870.0,1870.8,354
2026-03-17 02:07:00,1870.6,1871.6,1870.0,1871.3,612
2026-03-17 02:08:00,1871.5,1872.2,1871.2,1871.6,573
2026-03-17 02:09:00,1871.6,1871.7,1870.0,1870.8,637
2026-03-17 02:10:00,1870.8,1873.2,1870.8,1872.9,1247
2026-03-17 02:11:00,1872.9,1873.9,1871.7,1872.0,1044
2026-03-17 02:12:00,1872.0,1873.0,1870.9,1872.7,919
2026-03-17 02:13:00,1873.0,1873.7,1872.3,1873.1,519
2026-03-17 02:14:00,1873.1,1874.9,1872.7,1874.4,1168
2026-03-17 02:15:00,1874.4,1875.5,1872.7,1873.3,2143
2026-03-17 02:16:00,1873.7,1875.8,1872.9,1872.9,1114
2026-03-17 02:17:00,1873.0,1874.3,1872.4,1873.6,595
2026-03-17 02:18:00,1873.6,1873.9,1872.4,1872.4,1105
2026-03-17 02:19:00,1873.0,1873.4,1872.5,1872.6,428
2026-03-17 02:20:00,1872.6,1874.7,1872.6,1874.1,682
2026-03-17 02:21:00,1874.5,1877.0,1873.9,1875.9,1998
2026-03-17 02:22:00,1876.0,1884.1,1875.8,1881.7,4373
2026-03-17 02:23:00,1881.0,1885.8,1880.5,1883.4,4076
2026-03-17 02:24:00,1883.4,1920.0,1883.1,1896.6,6794
2026-03-17 02:25:00,1897.0,1897.6,1890.3,1893.0,5060
2026-03-17 02:26:00,1893.2,1896.2,1890.0,1895.1,2306
2026-03-17 02:27:00,1895.1,1896.9,1893.5,1895.0,1944
2026-03-17 02:28:00,1895.0,1896.0,1892.6,1893.0,1391
2026-03-17 02:29:00,1893.0,1894.0,1891.5,1893.2,1411
2026-03-17 02:30:00,1893.1,1898.0,1892.7,1895.0,2926
2026-03-17 02:31:00,1895.0,1896.8,1892.7,1893.1,1574
2026-03-17 02:32:00,1893.0,1893.8,1892.5,1893.2,1024
2026-03-17 02:33:00,1893.0,1894.1,1892.7,1893.2,748
2026-03-17 02:34:00,1893.1,1893.7,1892.0,1892.5,1757
2026-03-17 02:35:00,1892.4,1894.0,1892.4,1894.0,888
2026-03-17 02:36:00,1893.9,1895.9,1893.6,1895.6,1282
2026-03-17 02:37:00,1895.8,1900.0,1895.6,1898.0,3151
2026-03-17 02:38:00,1897.9,1902.7,1897.9,1901.7,3016
2026-03-17 02:39:00,1902.0,1905.9,1902.0,1903.5,3024
2026-03-17 02:40:00,1903.7,1907.4,1902.0,1902.1,2427
2026-03-17 02:41:00,1902.1,1903.0,1899.5,1900.3,2355
2026-03-17 02:42:00,1900.4,1901.9,1898.0,1899.0,1376
2026-03-17 02:43:00,1899.3,1899.9,1897.0,1897.5,1498
2026-03-17 02:44:00,1897.8,1898.0,1896.6,1897.1,979
2026-03-17 02:45:00,1897.1,1899.9,1897.1,1898.0,1103
2026-03-17 02:46:00,1897.9,1898.2,1896.1,1897.0,953
2026-03-17 02:47:00,1897.1,1897.8,1896.1,1897.4,682
2026-03-17 02:48:00,1897.1,1897.4,1895.3,1896.1,979
2026-03-17 02:49:00,1896.1,1897.6,1895.4,1897.0,761
2026-03-17 02:50:00,1896.9,1897.8,1896.6,1896.7,353
2026-03-17 02:51:00,1897.0,1899.0,1896.6,1897.9,768
2026-03-17 02:52:00,1897.8,1897.9,1896.7,1896.9,510
2026-03-17 02:53:00,1896.7,1897.0,1894.0,1895.1,1578
2026-03-17 02:54:00,1894.9,1895.9,1894.4,1894.5,923
2026-03-17 02:55:00,1894.6,1895.5,1894.3,1894.8,460
2026-03-17 02:56:00,1895.0,1896.5,1894.8,1896.5,664
2026-03-17 02:57:00,1896.5,1896.9,1894.7,1895.2,576
2026-03-17 02:58:00,1895.2,1895.4,1893.5,1893.7,732
2026-03-17 02:59:00,1894.0,1896.0,1893.8,1895.4,647
2026-03-17 03:00:00,1895.4,1896.0,1895.1,1895.2,755
2026-03-17 03:01:00,1895.2,1898.0,1895.2,1897.9,1570
2026-03-17 03:02:00,1897.9,1898.0,1896.0,1896.5,1051
2026-03-17 03:03:00,1896.2,1896.8,1894.0,1894.8,790
2026-03-17 03:04:00,1894.3,1895.7,1893.5,1893.8,822
2026-03-17 03:05:00,1893.8,1894.0,1892.8,1894.0,1001
2026-03-17 03:06:00,1893.7,1894.0,1892.6,1892.6,588
2026-03-17 03:07:00,1892.9,1894.0,1891.5,1894.0,1292
2026-03-17 03:08:00,1894.0,1895.7,1893.6,1894.0,839
2026-03-17 03:09:00,1894.2,1896.5,1893.7,1894.4,858
2026-03-17 03:10:00,1894.4,1895.5,1894.0,1894.5,461
2026-03-17 03:11:00,1894.5,1897.8,1894.5,1896.7,1024
2026-03-17 03:12:00,1896.5,1897.5,1895.4,1896.6,1096
2026-03-17 03:13:00,1896.8,1897.0,1896.1,1896.5,425
2026-03-17 03:14:00,1896.5,1897.0,1895.0,1895.9,473
2026-03-17 03:15:00,1895.9,1896.2,1894.5,1895.0,506
2026-03-17 03:16:00,1894.8,1895.1,1894.0,1895.1,332
2026-03-17 03:17:00,1894.7,1895.8,1894.5,1894.5,285
2026-03-17 03:18:00,1894.5,1894.9,1893.2,1894.0,589
2026-03-17 03:19:00,1894.0,1895.3,1893.9,1894.3,211
2026-03-17 03:20:00,1894.4,1895.4,1893.5,1895.0,297
2026-03-17 03:21:00,1895.0,1895.1,1893.2,1894.5,365
2026-03-17 03:22:00,1894.4,1894.8,1893.5,1893.7,381
2026-03-17 03:23:00,1893.7,1894.9,1893.1,1893.3,387
2026-03-17 03:24:00,1893.3,1895.9,1893.3,1894.7,906
2026-03-17 03:25:00,1894.8,1894.9,1893.8,1894.4,598
2026-03-17 03:26:00,1894.4,1895.7,1894.1,1894.5,449
2026-03-17 03:27:00,1894.6,1896.0,1894.3,1896.0,397
2026-03-17 03:28:00,1896.0,1896.5,1894.9,1895.3,651
2026-03-17 03:29:00,1895.6,1895.7,1894.5,1895.1,226
2026-03-17 03:30:00,1895.1,1895.5,1894.5,1895.5,253
2026-03-17 03:31:00,1895.5,1897.3,1895.0,1897.1,1118
2026-03-17 03:32:00,1897.1,1898.6,1896.5,1897.3,1561
2026-03-17 03:33:00,1897.4,1897.5,1895.0,1895.6,854
2026-03-17 03:34:00,1895.6,1897.0,1895.6,1897.0,333
2026-03-17 03:35:00,1897.0,1897.5,1896.4,1896.9,222
2026-03-17 03:36:00,1896.8,1897.5,1895.7,1896.2,525
2026-03-17 03:37:00,1895.8,1897.4,1895.8,1897.3,257
2026-03-17 03:38:00,1897.3,1897.3,1896.3,1897.0,186
2026-03-17 03:39:00,1897.0,1897.3,1894.6,1895.0,894
2026-03-17 03:40:00,1895.0,1895.1,1893.4,1893.5,1579
2026-03-17 03:41:00,1893.8,1894.4,1893.3,1893.5,510
2026-03-17 03:42:00,1893.5,1893.7,1892.3,1893.2,1057
2026-03-17 03:43:00,1893.2,1894.2,1893.0,1893.9,292
2026-03-17 03:44:00,1893.9,1893.9,1893.0,1893.5,359
2026-03-17 03:45:00,1893.5,1895.7,1893.5,1894.3,628
2026-03-17 03:46:00,1894.3,1896.5,1894.3,1895.7,529
2026-03-17 03:47:00,1895.4,1896.5,1894.7,1896.2,420
2026-03-17 03:48:00,1896.5,1896.5,1894.6,1895.5,487
2026-03-17 03:49:00,1895.3,1895.3,1894.4,1894.4,293
2026-03-17 03:50:00,1894.5,1895.4,1894.2,1895.2,161
2026-03-17 03:51:00,1894.8,1896.6,1894.8,1896.6,409
2026-03-17 03:52:00,1896.6,1897.9,1895.8,1896.4,993
2026-03-17 03:53:00,1896.5,1896.8,1895.4,1895.4,329
2026-03-17 03:54:00,1895.4,1895.6,1894.8,1895.4,308
2026-03-17 03:55:00,1895.5,1897.4,1895.5,1896.3,400
2026-03-17 03:56:00,1896.4,1897.4,1895.8,1897.3,360
2026-03-17 03:57:00,1897.3,1897.4,1896.1,1896.4,354
2026-03-17 03:58:00,1896.4,1896.6,1894.5,1895.0,721
2026-03-17 03:59:00,1895.1,1895.9,1894.5,1895.5,476
2026-03-17 04:00:00,1895.5,1895.5,1893.5,1894.4,638
2026-03-17 04:01:00,1894.4,1894.5,1893.0,1893.7,976
2026-03-17 04:02:00,1893.7,1894.6,1893.2,1894.6,324
2026-03-17 04:03:00,1894.2,1894.8,1893.5,1893.5,311
2026-03-17 04:04:00,1893.6,1894.8,1893.6,1894.3,100
2026-03-17 04:05:00,1894.3,1895.4,1894.3,1894.5,231
2026-03-17 04:06:00,1894.5,1895.9,1894.4,1895.9,208
2026-03-17 04:07:00,1895.9,1895.9,1893.7,1894.1,437
2026-03-17 04:08:00,1894.1,1894.6,1893.6,1894.0,283
2026-03-17 04:09:00,1893.8,1894.8,1893.8,1894.1,84
2026-03-17 04:10:00,1894.1,1894.5,1893.5,1893.7,400
2026-03-17 04:11:00,1894.0,1894.8,1893.7,1894.0,178
2026-03-17 04:12:00,1894.0,1894.9,1893.8,1894.0,192
2026-03-17 04:13:00,1894.0,1894.5,1893.9,1894.0,111
2026-03-17 04:14:00,1894.1,1894.7,1894.0,1894.7,125
2026-03-17 04:15:00,1894.7,1895.7,1894.0,1894.2,343
2026-03-17 04:16:00,1894.2,1895.0,1894.0,1894.8,117
2026-03-17 04:17:00,1894.8,1896.0,1894.6,1895.7,356
2026-03-17 04:18:00,1895.7,1897.5,1895.5,1897.4,986
2026-03-17 04:19:00,1897.0,1897.6,1896.3,1896.5,789
2026-03-17 04:20:00,1896.5,1896.8,1895.3,1895.3,501
2026-03-17 04:21:00,1895.5,1896.7,1895.2,1896.7,331
2026-03-17 04:22:00,1896.6,1897.3,1895.8,1896.2,308
2026-03-17 04:23:00,1896.2,1897.0,1896.1,1896.6,134
2026-03-17 04:24:00,1896.6,1897.0,1896.0,1896.1,202
2026-03-17 04:25:00,1896.3,1896.9,1895.6,1896.1,219
2026-03-17 04:26:00,1896.1,1897.2,1896.1,1896.9,399
2026-03-17 04:27:00,1897.0,1898.4,1897.0,1897.5,1411
2026-03-17 04:28:00,1897.5,1898.0,1897.0,1897.6,725
2026-03-17 04:29:00,1898.0,1900.1,1897.8,1899.4,1875
2026-03-17 06:00:00,1899.0,1899.6,1888.1,1889.8,5327
2026-03-17 06:01:00,1889.7,1891.8,1886.0,1887.2,4536
2026-03-17 06:02:00,1887.4,1888.2,1883.0,1885.0,3822
2026-03-17 06:03:00,1885.0,1887.2,1883.3,1887.2,1930
2026-03-17 06:04:00,1887.2,1887.2,1883.4,1883.9,2218
2026-03-17 06:05:00,1883.5,1884.8,1882.5,1884.5,2200
2026-03-17 06:06:00,1884.5,1885.6,1883.6,1884.9,1268
2026-03-17 06:07:00,1884.9,1885.1,1881.3,1882.2,3119
2026-03-17 06:08:00,1882.5,1883.5,1880.1,1881.9,2564
