Time,Price,Volume,Side
14:05:48,2057.10,8,B
14:05:47,2057.10,6,B
14:05:47,2057.20,1,B
14:05:47,2057.20,1,B
14:05:47,2057.20,1,B
14:05:46,2057.10,2,B
14:05:46,2057.10,1,B
14:05:46,2057.10,1,B
14:05:46,2057.10,1,B
14:05:46,2057.00,8,B
14:05:46,2057.10,1,B
14:05:46,2057.10,1,B
14:05:46,2057.10,1,B
14:05:46,2057.10,1,B
14:05:46,2057.10,2,B
14:05:46,2057.10,1,B
14:05:46,2057.10,1,B
14:05:46,2057.10,1,B
14:05:46,2057.10,2,B
14:05:46,2057.10,2,B
14:05:46,2057.10,2,B
14:05:46,2057.10,1,B
14:05:46,2057.10,3,B
14:05:46,2057.10,2,B
14:05:46,2057.10,1,B
14:05:46,2057.20,1,B
14:05:46,2057.20,1,B
14:05:46,2057.20,3,B
14:05:46,2057.20,1,B
14:05:45,2057.20,1,B
14:05:45,2057.30,5,B
14:05:45,2057.30,2,B
14:05:45,2057.30,1,B
14:05:45,2057.50,1,M
14:05:45,2057.40,1,M
14:05:44,2057.50,4,M
14:05:43,2057.20,1,B
14:05:43,2057.30,1,B
14:05:43,2057.20,1,B
14:05:43,2057.30,1,B
14:05:43,2057.70,1,M
14:05:42,2057.70,1,M
14:05:42,2057.30,1,B
14:05:42,2057.50,1,B
14:05:42,2057.80,1,M
14:05:42,2057.20,1,B
14:05:42,2057.30,1,B
14:05:42,2057.30,1,B
14:05:42,2057.80,1,M
14:05:42,2057.50,1,M
14:05:42,2057.50,1,M
14:05:41,2057.50,5,M
14:05:41,2057.20,1,B
14:05:41,2057.20,1,B
14:05:40,2057.30,1,B
14:05:39,2057.30,1,B
14:05:39,2057.30,1,B
14:05:39,2057.40,1,B
14:05:39,2057.70,1,M
14:05:38,2057.70,1,M
14:05:38,2057.60,1,M
14:05:38,2057.80,2,M
14:05:38,2057.80,1,M
14:05:38,2057.80,1,M
14:05:38,2057.80,1,M
14:05:38,2057.70,2,M
14:05:38,2057.70,2,M
14:05:38,2057.70,1,M
14:05:37,2057.20,1,B
14:05:37,2057.20,1,B
14:05:37,2057.20,3,B
14:05:37,2057.30,1,B
14:05:37,2057.20,2,B
14:05:37,2057.20,1,B
14:05:37,2057.30,2,B
14:05:37,2057.20,13,B
14:05:37,2057.20,2,B
14:05:37,2057.20,1,B
14:05:37,2057.20,1,B
14:05:37,2057.20,50,B
14:05:37,2057.30,1,B
14:05:37,2057.30,1,B
14:05:37,2057.30,2,B
14:05:37,2057.40,1,B
14:05:37,2057.40,1,B
14:05:37,2057.40,1,B
14:05:37,2057.80,1,M
14:05:36,2057.80,1,M
14:05:36,2057.80,2,M
14:05:36,2057.80,1,M
14:05:35,2057.50,5,B
14:05:35,2057.50,7,B
14:05:35,2057.80,1,M
14:05:35,2057.80,1,M
14:05:35,2057.70,1,M
14:05:35,2057.50,3,B
14:05:35,2057.50,1,B
14:05:35,2057.50,2,B
14:05:35,2057.50,2,B
14:05:35,2057.50,1,B
14:05:35,2057.50,2,B
14:05:35,2057.50,1,B
14:05:35,2057.50,4,B
14:05:34,2057.50,1,B
14:05:33,2057.50,2,B
14:05:33,2057.60,1,B
14:05:32,2057.80,13,B
14:05:32,2057.80,1,B
14:05:32,2057.80,1,B
14:05:32,2057.80,2,B
14:05:32,2057.80,2,B
14:05:31,2057.80,1,B
14:05:31,2057.80,1,B
14:05:31,2057.80,1,B
14:05:31,2057.80,3,B
14:05:30,2057.80,1,B
14:05:30,2058.00,1,M
14:05:30,2057.70,1,B
14:05:30,2058.00,1,M
14:05:30,2057.50,49,B
14:05:30,2057.60,1,B
14:05:30,2057.60,1,B
14:05:30,2057.60,3,B
14:05:30,2057.60,2,B
14:05:30,2057.70,2,B
14:05:30,2057.70,1,B
14:05:30,2057.70,1,B
14:05:30,2057.70,2,B
14:05:30,2057.70,20,B
14:05:30,2057.70,10,B
14:05:30,2057.70,1,B
14:05:30,2057.80,1,B
14:05:30,2057.80,1,B
14:05:30,2057.80,1,B
14:05:30,2057.80,5,B
14:05:29,2057.80,2,B
14:05:29,2057.80,5,B
14:05:29,2058.20,2,M
14:05:29,2058.20,1,M
14:05:29,2058.10,1,M
14:05:29,2058.00,1,M
14:05:28,2058.00,2,M
14:05:28,2058.00,1,M
14:05:27,2057.80,2,B
14:05:26,2057.80,1,B
14:05:26,2057.80,1,B
14:05:25,2058.20,1,M
14:05:25,2057.80,1,B
14:05:25,2057.80,1,B
14:05:25,2057.90,1,B
14:05:25,2057.90,1,B
14:05:24,2058.00,1,B
14:05:24,2058.00,1,B
14:05:24,2058.00,4,B
14:05:24,2058.00,1,B
14:05:23,2058.00,4,B
14:05:23,2058.00,3,B
14:05:23,2058.10,1,B
14:05:23,2058.10,1,B
14:05:23,2058.20,5,B
14:05:23,2058.20,50,B
14:05:23,2058.30,1,B
14:05:23,2058.30,1,B
14:05:23,2058.30,15,B
14:05:22,2058.30,4,B
14:05:21,2058.30,19,B
14:05:21,2058.30,2,B
14:05:21,2058.50,1,M
14:05:20,2058.30,1,B
14:05:20,2058.50,1,B
14:05:17,2058.50,2,M
14:05:17,2058.50,1,M
14:05:17,2058.50,1,M
14:05:17,2058.50,14,M
14:05:17,2058.30,5,B
14:05:17,2058.50,1,M
14:05:17,2058.30,2,B
14:05:17,2058.50,5,M
14:05:16,2058.40,3,M
14:05:16,2058.40,2,M
14:05:16,2058.30,1,B
14:05:14,2058.30,1,B
14:05:14,2058.00,2,B
14:05:14,2058.00,1,B
14:05:14,2058.00,1,B
14:05:14,2058.00,2,B
14:05:14,2058.00,5,B
14:05:14,2058.00,1,B
14:05:14,2058.00,1,B
14:05:14,2058.00,1,B
14:05:14,2058.00,1,B
14:05:14,2058.00,1,B
14:05:14,2058.00,1,B
14:05:14,2058.00,2,B
14:05:14,2058.00,1,B
14:05:14,2058.00,1,B
14:05:14,2058.00,3,B
14:05:14,2058.00,1,B
14:05:14,2058.00,2,B
14:05:14,2058.00,2,B
14:05:14,2058.00,3,B
14:05:14,2058.10,4,B
14:05:14,2058.10,1,B
14:05:14,2058.10,1,B
14:05:14,2058.10,1,B
14:05:14,2058.10,1,B
14:05:13,2058.10,2,B
14:05:13,2058.10,1,B
14:05:13,2058.50,4,M
14:05:13,2058.40,1,M
14:05:13,2058.10,1,B
14:05:13,2058.10,1,B
14:05:13,2058.10,1,B
14:05:13,2058.10,1,B
14:05:13,2058.20,1,B
14:05:13,2058.20,1,B
14:05:13,2058.20,2,B
14:05:13,2058.20,1,B
14:05:13,2058.20,1,B
14:05:13,2058.20,1,B
14:05:13,2058.20,1,B
14:05:12,2058.20,1,B
14:05:12,2058.30,1,M
14:05:11,2058.20,2,B
14:05:08,2058.50,1,M
14:05:08,2058.50,1,M
14:05:08,2058.30,5,B
14:05:07,2058.30,1,B
14:05:06,2058.50,1,M
14:05:06,2058.50,1,B
14:05:06,2058.50,3,B
14:05:06,2058.50,1,B
14:05:06,2058.50,1,B
14:05:06,2058.50,12,B
14:05:06,2058.50,2,B
14:05:06,2058.60,1,B
14:05:05,2058.50,30,B
14:05:05,2058.50,1,B
14:05:04,2058.50,1,B
14:05:04,2058.50,1,B
14:05:02,2058.50,2,B
14:05:01,2058.70,2,M
14:05:01,2058.60,3,M
14:05:01,2058.60,1,M
14:05:01,2058.50,1,B
14:05:00,2058.50,1,B
14:04:59,2058.70,1,M
14:04:56,2058.70,5,M
14:04:56,2058.50,1,B
14:04:55,2058.60,1,B
14:04:55,2058.70,1,M
14:04:55,2058.70,3,M
14:04:54,2058.70,1,M
14:04:53,2058.40,1,M
14:04:52,2058.40,1,M
14:04:52,2058.40,1,M
14:04:51,2058.40,1,M
14:04:50,2058.40,1,M
14:04:50,2058.40,1,B
14:04:48,2058.40,1,B
14:04:48,2058.50,1,B
14:04:47,2058.80,1,M
14:04:47,2058.80,1,M
14:04:47,2058.80,3,M
14:04:47,2058.70,5,M
14:04:47,2058.60,1,M
14:04:46,2058.70,3,B
14:04:45,2058.70,1,B
14:04:45,2058.70,2,B
14:04:45,2058.80,2,M
14:04:44,2058.70,6,M
14:04:44,2058.70,5,M
14:04:43,2058.60,10,B
14:04:42,2058.70,1,M
14:04:42,2058.60,1,B
14:04:42,2058.70,4,M
14:04:42,2058.70,1,M
14:04:42,2058.60,1,M
14:04:42,2058.60,1,M
14:04:42,2058.60,4,M
14:04:41,2058.40,1,B
14:04:41,2058.60,2,M
14:04:40,2058.50,1,M
14:04:40,2058.50,1,M
14:04:39,2058.50,2,M
14:04:39,2058.50,1,M
14:04:39,2058.50,1,M
14:04:39,2058.40,1,M
14:04:39,2058.10,1,B
14:04:39,2058.30,1,M
14:04:38,2058.10,1,B
14:04:38,2058.10,1,B
14:04:38,2058.20,1,B
14:04:38,2058.30,2,M
14:04:38,2058.30,1,M
14:04:36,2058.30,3,M
14:04:33,2058.10,1,B
14:04:33,2058.30,1,M
14:04:32,2058.10,1,B
14:04:27,2058.00,2,B
14:04:27,2058.00,2,B
14:04:27,2058.00,1,B
14:04:27,2058.00,1,B
14:04:27,2058.10,1,B
14:04:27,2058.10,2,B
14:04:27,2058.10,2,B
14:04:27,2058.10,4,B
14:04:27,2058.10,3,B
14:04:27,2058.10,1,B
14:04:27,2058.10,1,B
14:04:27,2058.10,3,B
14:04:27,2058.20,1,B
14:04:27,2058.30,6,B
14:04:26,2058.50,1,M
14:04:26,2058.50,1,M
14:04:26,2058.50,1,M
14:04:26,2058.40,11,M
14:04:26,2058.40,5,M
14:04:25,2058.20,10,M
14:04:24,2058.40,2,M
14:04:23,2058.10,1,B
14:04:23,2058.20,1,B
14:04:23,2058.20,1,B
14:04:23,2058.40,1,M
14:04:23,2058.40,1,M
14:04:22,2058.40,1,M
14:04:20,2058.20,1,M
14:04:19,2058.10,1,B
14:04:19,2058.20,1,B
14:04:18,2058.30,2,M
14:04:18,2058.10,1,B
14:04:18,2058.40,1,M
14:04:18,2058.20,1,M
14:04:18,2058.20,1,M
14:04:18,2058.10,1,B
14:04:17,2058.20,4,M
14:04:16,2058.20,3,M
14:04:16,2058.10,1,B
14:04:15,2058.20,2,M
14:04:15,2058.20,1,M
14:04:14,2058.10,1,B
14:04:14,2058.10,3,B
14:04:14,2058.20,1,M
14:04:14,2058.20,1,M
14:04:14,2058.10,2,B
14:04:14,2058.10,1,B
14:04:14,2058.20,1,M
14:04:13,2058.10,3,M
14:04:13,2058.10,1,M
14:04:12,2058.00,1,M
14:04:12,2058.00,1,M
14:04:12,2057.80,4,B
14:04:12,2057.80,1,M
14:04:12,2057.70,1,B
14:04:11,2057.70,1,B
14:04:11,2057.80,1,M
14:04:11,2057.70,1,B
14:04:10,2058.10,4,M
14:04:10,2058.00,1,M
14:04:09,2057.70,18,B
14:04:09,2057.90,1,B
14:04:09,2057.90,1,B
14:04:09,2057.50,3,B
14:04:09,2057.80,1,B
14:04:09,2058.00,1,M
14:04:09,2058.00,2,M
14:04:09,2058.00,1,M
14:04:09,2057.90,1,M
14:04:09,2057.80,1,B
14:04:09,2057.80,5,B
14:04:09,2057.80,1,B
14:04:08,2057.80,16,B
14:04:08,2057.50,1,B
14:04:08,2057.50,2,B
14:04:08,2057.50,1,B
14:04:08,2057.50,1,B
14:04:08,2057.60,3,B
14:04:08,2058.00,1,M
14:04:08,2057.60,1,B
14:04:08,2057.60,1,B
14:04:08,2057.60,1,B
14:04:07,2057.60,1,B
14:04:07,2057.60,10,B
14:04:07,2057.60,13,B
14:04:07,2057.70,5,B
14:04:07,2057.70,4,B
14:04:07,2057.70,1,B
14:04:07,2057.70,1,B
14:04:07,2057.90,1,B
14:04:07,2057.80,1,B
14:04:07,2057.90,1,B
14:04:07,2058.30,1,M
14:04:07,2057.90,1,B
14:04:07,2057.90,1,B
14:04:07,2057.90,1,B
14:04:07,2058.00,1,B
14:04:07,2057.80,3,B
14:04:07,2058.00,1,B
14:04:07,2058.00,1,B
14:04:07,2058.00,2,B
14:04:07,2058.00,1,B
14:04:07,2058.00,1,B
14:04:07,2058.00,1,B
14:04:07,2058.00,2,B
14:04:07,2058.00,1,B
14:04:07,2058.00,4,B
14:04:07,2058.10,1,B
14:04:07,2058.30,12,B
14:04:06,2058.30,3,B
14:04:06,2058.30,1,B
14:04:06,2058.30,1,M
14:04:06,2058.30,1,M
14:04:06,2058.20,2,M
14:04:06,2058.10,1,M
14:04:06,2058.00,1,B
14:04:06,2058.00,1,B
14:04:06,2058.00,1,B
14:04:06,2058.00,1,B
14:04:06,2058.00,1,B
14:04:06,2058.00,1,B
14:04:06,2058.00,1,B
14:04:06,2058.10,1,B
14:04:06,2058.10,6,B
14:04:06,2058.10,5,B
14:04:05,2058.10,1,B
14:04:05,2058.10,1,B
14:04:05,2058.10,1,B
14:04:05,2058.20,1,M
14:04:05,2058.30,2,M
14:04:05,2058.50,2,M
14:04:05,2058.50,1,M
14:04:04,2058.10,2,B
14:04:04,2058.10,2,B
14:04:04,2058.10,3,B
14:04:04,2058.10,1,B
14:04:04,2058.20,1,B
14:04:04,2058.20,2,B
14:04:04,2058.30,1,B
14:04:04,2058.30,1,B
14:04:04,2058.30,1,B
14:04:04,2058.30,1,B
14:04:04,2058.30,6,B
14:04:04,2058.30,1,B
14:04:04,2058.50,1,M
14:04:04,2058.50,4,M
14:04:04,2058.40,1,M
14:04:04,2058.30,1,B
14:04:04,2058.30,1,B
14:04:04,2058.50,1,M
14:04:04,2058.40,2,B
14:04:04,2058.50,2,B
14:04:04,2058.50,5,B
14:04:04,2058.50,12,B
14:04:04,2058.50,1,B
14:04:04,2058.50,7,B
14:04:04,2058.70,8,M
14:04:04,2058.60,1,B
14:04:04,2058.60,2,B
14:04:03,2058.70,2,M
14:04:03,2058.60,1,B
14:04:03,2058.60,1,B
14:04:03,2058.60,1,B
14:04:03,2058.70,1,B
14:04:03,2058.70,10,B
14:04:03,2058.80,1,B
14:04:02,2058.90,1,M
14:04:01,2058.90,1,M
14:04:01,2058.90,3,M
14:04:00,2058.70,1,B
14:04:00,2058.70,1,B
14:04:00,2058.80,1,B
14:04:00,2058.80,1,B
14:04:00,2058.80,1,B
14:04:00,2058.80,1,B
14:04:00,2059.00,3,B
14:04:00,2059.00,1,B
14:04:00,2059.00,2,B
14:04:00,2059.00,2,B
14:04:00,2059.00,1,B
14:04:00,2059.00,5,B
14:04:00,2059.00,2,B
14:04:00,2059.00,2,B
14:04:00,2059.00,4,B
14:04:00,2059.00,5,B
14:04:00,2059.00,4,B
14:04:00,2059.00,1,B
14:04:00,2059.10,1,B
14:04:00,2059.10,10,B
14:04:00,2059.10,1,B
14:04:00,2059.20,1,B
14:04:00,2059.20,1,B
14:04:00,2059.20,2,B
14:03:59,2059.30,4,B
14:03:56,2059.60,1,M
14:03:55,2059.70,1,M
14:03:55,2059.10,19,B
14:03:55,2059.10,1,B
14:03:55,2059.10,2,B
14:03:55,2059.20,1,B
14:03:55,2059.20,1,B
14:03:55,2059.20,2,B
14:03:55,2059.20,1,B
14:03:55,2059.20,2,B
14:03:55,2059.20,1,B
14:03:55,2059.30,1,B
14:03:55,2059.30,2,B
14:03:55,2059.30,1,B
14:03:55,2059.40,1,B
14:03:55,2059.40,1,B
14:03:55,2059.50,1,B
14:03:55,2059.50,1,B
14:03:55,2059.50,1,B
14:03:55,2059.50,1,B
14:03:55,2059.60,3,B
14:03:55,2059.60,5,B
14:03:55,2059.60,2,B
14:03:55,2059.60,3,B
14:03:55,2059.70,1,B
14:03:53,2059.80,5,M
14:03:47,2059.50,1,B
14:03:47,2059.50,1,B
14:03:47,2059.50,4,B
14:03:47,2059.80,5,M
14:03:47,2059.80,1,M
14:03:47,2059.80,4,M
14:03:45,2059.80,1,M
14:03:45,2059.50,1,B
14:03:44,2059.80,1,M
14:03:43,2059.80,4,M
14:03:43,2059.80,1,M
14:03:43,2059.70,2,B
14:03:42,2059.70,1,M
14:03:42,2059.70,3,M
14:03:42,2059.70,1,M
14:03:42,2059.70,1,M
14:03:41,2059.50,1,B
14:03:41,2059.50,1,B
14:03:41,2059.50,1,B
14:03:41,2059.50,1,B
14:03:41,2059.50,2,B
14:03:40,2059.50,3,B
14:03:39,2059.30,6,B
14:03:39,2059.30,1,B
14:03:39,2059.30,1,B
14:03:39,2059.30,1,B
14:03:38,2059.30,1,B
14:03:38,2059.30,2,B
14:03:36,2059.30,1,B
14:03:36,2059.30,2,B
14:03:36,2059.30,1,B
14:03:36,2059.50,1,B
14:03:36,2059.50,2,B
14:03:36,2059.50,1,B
14:03:36,2059.60,1,B
14:03:36,2059.60,3,B
14:03:36,2059.60,8,B
14:03:36,2059.80,4,M
14:03:36,2059.80,1,M
14:03:35,2059.60,2,B
14:03:35,2059.70,1,B
14:03:35,2059.70,1,B
14:03:35,2059.80,1,B
14:03:35,2059.80,1,B
14:03:35,2059.80,1,B
14:03:35,2059.80,27,B
14:03:35,2059.80,1,B
14:03:35,2059.90,3,M
14:03:34,2059.90,3,M
14:03:33,2059.80,16,B
14:03:33,2059.90,1,B
14:03:33,2059.90,1,M
14:03:32,2059.80,2,B
