time,open,high,low,close,volume
2026-03-16 09:15:00+07:00,62.6,62.9,62.6,62.9,39300
2026-03-16 09:16:00+07:00,62.8,62.8,62.8,62.8,3800
2026-03-16 09:17:00+07:00,62.8,62.8,62.8,62.8,2300
2026-03-16 09:18:00+07:00,62.8,62.9,62.8,62.9,2900
2026-03-16 09:19:00+07:00,62.9,62.9,62.8,62.9,5400
2026-03-16 09:20:00+07:00,62.9,62.9,62.8,62.8,9700
2026-03-16 09:21:00+07:00,62.9,62.9,62.8,62.8,6100
2026-03-16 09:22:00+07:00,62.8,62.9,62.8,62.9,4100
2026-03-16 09:23:00+07:00,62.9,62.9,62.8,62.9,2800
2026-03-16 09:24:00+07:00,62.9,62.9,62.8,62.9,12000
2026-03-16 09:25:00+07:00,62.9,62.9,62.6,62.7,7200
2026-03-16 09:26:00+07:00,62.6,62.7,62.6,62.6,8800
2026-03-16 09:27:00+07:00,62.6,62.6,62.6,62.6,3900
2026-03-16 09:28:00+07:00,62.6,62.7,62.6,62.6,9900
2026-03-16 09:29:00+07:00,62.6,62.6,62.6,62.6,6300
2026-03-16 09:30:00+07:00,62.6,62.7,62.6,62.6,17200
2026-03-16 09:31:00+07:00,62.6,62.6,62.5,62.5,2500
2026-03-16 09:32:00+07:00,62.6,62.7,62.6,62.6,12900
2026-03-16 09:33:00+07:00,62.6,62.7,62.5,62.5,9900
2026-03-16 09:34:00+07:00,62.6,62.6,62.6,62.6,2200
2026-03-16 09:35:00+07:00,62.6,62.7,62.6,62.7,2300
2026-03-16 09:36:00+07:00,62.6,62.6,62.5,62.5,17600
2026-03-16 09:37:00+07:00,62.5,62.5,62.5,62.5,15300
2026-03-16 09:38:00+07:00,62.4,62.5,62.4,62.5,10100
2026-03-16 09:39:00+07:00,62.5,62.5,62.4,62.4,4000
2026-03-16 09:40:00+07:00,62.4,62.5,62.4,62.4,5900
2026-03-16 09:41:00+07:00,62.4,62.4,62.4,62.4,11200
2026-03-16 09:42:00+07:00,62.4,62.4,62.4,62.4,7400
2026-03-16 09:43:00+07:00,62.4,62.5,62.3,62.3,16400
2026-03-16 09:44:00+07:00,62.4,62.4,62.4,62.4,7900
2026-03-16 09:45:00+07:00,62.4,62.5,62.4,62.5,1400
2026-03-16 09:46:00+07:00,62.4,62.5,62.4,62.4,5400
2026-03-16 09:47:00+07:00,62.4,62.4,62.4,62.4,4200
2026-03-16 09:48:00+07:00,62.4,62.5,62.3,62.4,15100
2026-03-16 09:49:00+07:00,62.3,62.4,62.3,62.4,3600
2026-03-16 09:50:00+07:00,62.4,62.4,62.3,62.3,7600
2026-03-16 09:51:00+07:00,62.3,62.5,62.3,62.3,3500
2026-03-16 09:52:00+07:00,62.3,62.4,62.3,62.3,4100
2026-03-16 09:53:00+07:00,62.4,62.4,62.3,62.3,2800
2026-03-16 09:54:00+07:00,62.3,62.4,62.3,62.3,4100
